,SMILES,STABILITY_SCORE,CHEMBL_ID
9,CC(C)N1CCN(CC1)c1ccc(NC(=O)c2ccc(cc2)-c2ccccn2)cc1F,1.0,CHEMBL2407263
14,CC1(COC1)c1ccc(cc1)-c1ccc(cn1)C#N,0.6,CHEMBL2386149
21,CC(C)(C)CN1N=C(c2cccs2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,1.0,CHEMBL257408
24,CC(C)CCN1N=C(CC(C)C)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.1,CHEMBL410687
25,CC(C)CCN1N=C(c2cc[nH]c2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.5,CHEMBL259781
28,COc1cc(N2CCN(CC2)C2CCN(CC2)c2cccc3cccnc23)c2ncccc2c1,0.1,CHEMBL1094872
37,Cc1ccc(s1)C1=NN(Cc2ccccc2)C(=O)C(C2=NS(=O)(=O)c3ccccc3N2)=C1O,1.0,CHEMBL401931
42,CC(C)CCN1N=C(c2cccs2)C(O)=C(C2=NS(=O)(=O)c3ccccc3N2)C1=O,0.2,CHEMBL402743
44,CN(Cc1cccs1)C(=O)C12CC3CC(CC(C3)C1)C2,1.0,CHEMBL2159075
45,CO\N=C(\N)c1ccc(cc1)-c1cncc(n1)-c1ccc(nc1)C(\N)=N\OC,0.1,CHEMBL2442611
49,Cc1cc(n[nH]1)-c1ccc(Cl)c(c1)C(=O)NCC1(O)CCCCCC1,1.3,CHEMBL560241
50,CC(C)CCN1N=C(c2cccs2)C(O)=C(C2=NS(=O)(=O)c3cc(CS(C)(=O)=O)ccc3N2)C1=O,0.5,CHEMBL402191
56,NS(=O)(=O)NCc1csc2ccccc12,1.7,CHEMBL466517
78,C[C@@H]1Nc2cc(ccc2C(N)=O)-n2c3CC(C)(C)CC(=O)c3c(C)c2CCCN2CCCC[C@H]12,0.1,CHEMBL1779545
84,CCC(CC)C(=O)N\C(Nc1ccc(Cl)c(Cl)c1)=N\c1nccn1C(C)C,1.0,CHEMBL1828781
85,CNc1nc(NCCCN(C)C)c2sc(cc2n1)-c1ccoc1,0.9,CHEMBL3120295
107,CC(C)S(=O)(=O)c1cccc(Oc2cccc(c2)-c2ccnc3c(cccc23)C(F)(F)F)c1,0.3,CHEMBL595344
108,CCc1nc(N)nc(N)c1-c1ccc2OC(C(=O)N(CCCOC)c2c1)c1ccc(F)cc1,0.3,CHEMBL239745
127,Cc1ccc(nc1)-c1ccc(Cl)c(c1)C(=O)NCC1(O)CCCCCC1,0.6,CHEMBL560429
134,O=C(N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N)C1CCOCC1,1.1,CHEMBL2207552
136,CC(C)NC(=O)[C@@H]1C[C@H](CN1C(=O)CN)NC(=O)c1ccccc1,0.5,CHEMBL560531
