,SMILES,STABILITY_SCORE,CHEMBL_ID
17,CCNC(=O)c1ccc(NC(=O)Nc2ccc(cc2)-c2nc(N3CCOCC3)c3nnn(CC)c3n2)cc1,0.3,CHEMBL591357
24,CCN1CCN(CC\C=C\c2ccc3c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c(cnc3c2)C#N)CC1,0.3,CHEMBL489058
53,CC(C)n1nc(C(F)c2cccc(Cl)c2Cl)c2c(N)ncnc12,0.2,CHEMBL2324595
73,CC(C)NC(=O)CN1CCNCC1,1.0,CHEMBL2391356
83,Cc1c2CCCNCCNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.5,CHEMBL1760602
96,CCc1nc(N)nc(N)c1-c1ccc2OC(C)(C(=O)N(CCO)c2c1)c1cc(F)cc(F)c1,0.8,CHEMBL238678
105,Oc1c(ccc2cccnc12)C(Nc1ccccn1)c1ccccc1,0.1,CHEMBL1688558
111,Cc1cccc(Cl)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N[C@@H](CCCCN)C(O)=O,0.3,CHEMBL460877
118,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,0.1,CHEMBL556303
144,NCc1ccc(cc1)C(=O)NC(C1=Nc2ccc(cc2C(=O)N1)-c1cn[nH]c1)c1ccc(Cl)cc1,7.0,CHEMBL2333884
155,C[C@@H]1Nc2cc(ccc2C(N)=O)-n2c3CC(C)(C)CC(=O)c3c(C)c2CCCN2CCCC[C@H]12,0.1,CHEMBL1779545
189,Cc1cccc(c1)-n1cnc2cc(ccc12)C(=O)N1CCCCC1,0.1,CHEMBL1343061
235,CC(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(O)c(Br)c3)[C@@H]2O)c1,0.1,CHEMBL1760859
281,C[C@@H](N1CCn2nc(nc2C1)-c1ccc(nc1)C#N)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,7.2,CHEMBL3261615
328,OC(=O)c1c(O)c(Cc2cccc(Cl)c2)nc2c3CCCCc3ccc12,0.1,CHEMBL219921
377,Clc1ccc(cc1)[C@@H]1CNC[C@H]1C1=Nc2ccc(cc2C(=O)N1)-c1cn[nH]c1,1.3,CHEMBL2333898
394,Cc1ccc(cc1)S(=O)(=O)N1Cc2ccc(\C=C\C(=O)NO)cc2C1,0.1,CHEMBL1808635
408,COc1ccc(cc1-c1cnc(OC)nc1)C1=Nc2c(nn(CCO)c2C(=O)NC1)C(C)(C)C,1.0,CHEMBL2387430
410,COc1nc(nc(n1)-c1ccc(NC(=O)Nc2ccc(cc2)C(=O)N(C)CCN(C)C)cc1)N1CCOCC1,0.3,CHEMBL1808979
441,CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc(nc1)C(F)(F)F,0.4,CHEMBL2386155
455,COc1ccccc1-c1ccc2cnc(Nc3ccc(cc3)C3CCN(C[C@H](C)O)CC3)nn12,0.6,CHEMBL1923593
513,COc1cccc(CNc2ccc(cc2)S(=O)(=O)Nc2nc3ccccc3o2)c1O,0.5,CHEMBL3113166
542,Cc1c2CCNCC(O)CNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.2,CHEMBL1760606
558,CNCCC1CCC(CCc2cc(F)ccc2OC)O1,2.1,CHEMBL473966
568,CCCc1cnc2c(cccc2c1-c1cccc(c1)-c1cccc(c1)S(C)(=O)=O)C(F)(F)F,0.5,CHEMBL1096719
582,Oc1ccc(cc1)-c1cc(cs1)-c1cccc(O)c1,0.3,CHEMBL462513
593,CN1C(=O)C(C)=C(Nc2ccc(I)cc2F)C2=C1N=CN(CCO)C2=O,3.3,CHEMBL1684073
604,CC(C)n1nc(C(O)c2cccc(Cl)c2Cl)c2c(N)ncnc12,0.3,CHEMBL2324594
632,CN1C2CCC1CC(C2)Oc1nc(nc(n1)-c1ccc(NC(=O)Nc2ccc(cc2)C(N)=O)cc1)N1CCOCC1,0.1,CHEMBL1808992
646,Cc1cc(\C=C\C#N)cc(C)c1Oc1cc(Nc2ccc(cc2)C#N)c(N)cc1C(N)=O,2.0,CHEMBL2012793
666,CN1CCN(CC1)c1ccc(cc1)-c1cc(n[nH]1)-c1cccc(c1)C(=O)NCC(F)(F)F,0.0,CHEMBL1683429
668,C[C@@H](N)C(=O)N1CC[C@H](C)Nc2cc(ccc2C(N)=O)-n2c3CC(C)(C)CC(=O)c3c(C)c2CC1,0.5,CHEMBL1778193
671,CC(C)CS(=O)(=O)Oc1ccc(cc1)S(=O)(=O)CC1CS1,0.6,CHEMBL1651849
682,C[C@H](N1CC[C@@](CCO)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cc1F,0.3,CHEMBL1829758
716,CN1CCN(CC1)c1ccc(cc1)-c1cc(n[nH]1)-c1cccc(c1)C(=O)NCCC#N,0.1,CHEMBL1683425
758,COc1cc(OC)c(\C=C\S(=O)(=O)Cc2cnc(OC)c(N)c2)c(OC)c1,0.3,CHEMBL3261265
768,COC(=O)Nc1ccc2oc3cc(ccc3c2c1)S(=O)(=O)N[C@@H](C(C)C)C(O)=O,0.5,CHEMBL523034
815,CCS(=O)(=O)Oc1ccc(Oc2ccc(cc2)S(=O)(=O)CC2CS2)cc1,0.6,CHEMBL1651843
833,Cc1nc2ccc(-c3ccccc3Cl)c(CN)c2n1C,0.1,CHEMBL257636
890,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(cc21)N1CCOC1=O)C(O)=O,0.5,CHEMBL550038
901,O=C(Nc1ccncc1)Nc1ccc(cc1)-c1nc(N2CCOCC2)c2ccn(CCN3CCNCC3)c2n1,0.1,CHEMBL1092280
920,CCCC(=O)OCOC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+]([O-])=O,0.0,CHEMBL1089539
932,CC(C)CCS(=O)(=O)c1cccc(Oc2cccc(c2)-c2c(C)cnc3c(cccc23)C(F)(F)F)c1,0.1,CHEMBL594174
938,CN(C)CCCNc1cc(C)nc2c(c(C)nn12)-c1ccc(C)cc1,0.4,CHEMBL2207854
949,Cn1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2cccnc2)cc1)N1CCOCC1,0.2,CHEMBL589599
954,O=C(NCC(c1ccccc1)c1ccccc1)c1cccnc1,0.1,CHEMBL563465
